año,mean,min,max,count
2010,14.44,7.1,24.05,7
2011,7.01,3.58,12.03,6
2012,6.75,2.97,12.8,7
2013,9.26,4.55,14.39,7
2014,8.1,2.7,14.86,7
2015,8.69,1.98,13.54,7
2016,7.68,1.72,17.11,7
2017,7.12,0.0,11.8,7
2018,7.26,0.0,14.39,7
2019,10.22,4.94,16.67,7
2020,10.92,7.14,15.85,7
2021,10.24,6.44,23.34,7
2022,8.51,4.26,12.55,7
